identifier	gene_symbol	chromosome	status	n_obs	molecular_weight	gravy	pI	rna_detected_percent	highest_tpm	description	learned_canonical_prob
AT1G01010.1	NAC1	1	canonical	4.0	49.42521720000007	-0.7314685314685315	5.101322364807127	99.86	315.7775	NAC domain containing protein 1	0.9671688209689164
AT1G01030.1	NGA3	1	canonical	12.0	40.28704110000006	-0.815921787709497	5.863362693786621	96.95	111.0907	AP2/B3-like transcriptional factor family protein	0.7565277335555614
AT1G01040.1	DCL1	1	canonical	40.0	213.57118299999945	-0.4161864850707173	5.877288246154785	100.0	129.5016	dicer-like 1	0.9984557356066541
AT1G01050.1	IPYR1	1	canonical	68.0	24.48377790000001	-0.4481132075471699	5.733030891418458	100.0	500.4623	pyrophosphorylase 1	0.9752974261602171
AT1G01060.1	LHY	1	canonical	17.0	70.43724230000039	-0.7455813953488362	5.765201759338378	99.81	2653.2137	Homeodomain-like superfamily protein	0.9932246031836546
AT1G01070.1	WTR1	1	canonical	3.0	39.80947180000007	0.5391780821917812	9.107529258728023	96.65	160.3721	nodulin MtN21 /EamA-like transporter family protein	0.8495519972490582
AT1G01080.1	Q8W592	1	canonical	55.0	32.575343500000045	-0.4604095563139934	9.005991554260255	99.93	267.5204	RNA-binding (RRM/RBD/RNP motifs) family protein	0.9592498208061294
AT1G01090.1	ODPA3	1	canonical	112.0	47.17340740000007	-0.2693925233644862	7.160712623596192	100.0	2494.214	pyruvate dehydrogenase E1 alpha	0.9875087886096776
AT1G01100.1	RLA11	1	canonical	104.0	11.161547699999986	0.2142857142857141	4.301256752014161	100.0	7890.0428	60S acidic ribosomal protein family	0.8771666800404224
AT1G01110.2	Q9MAM4	1	canonical	12.0	59.171330700000254	-0.97741935483871	10.342034339904783	99.44	92.8011	IQ-domain 18	0.8309215533192845
AT1G01120.1	KCS1	1	canonical	27.0	59.275826600000016	-0.1071969696969695	8.902906608581542	99.91	1532.5063	3-ketoacyl-CoA synthase 1	0.9919642358402191
AT1G01130.1	F4HQI8	1	canonical	3.0	14.046489899999992	-0.6846774193548394	4.776771736145019	99.89	77.0185	CBL-interacting Serine/Threonine-kinase	0.91784470300561
AT1G01140.1	CIPK9	1	canonical	28.0	50.5042146000001	-0.450335570469799	8.478253364562988	99.95	707.4249	CBL-interacting protein kinase 9	0.9818139385475642
AT1G01160.1	GIF2	1	canonical	10.0	21.038735599999946	-0.664615384615385	6.493422889709472	99.98	318.7914	GRF1-interacting factor 2	0.9726710099535112
AT1G01170.1	Q2HIQ2	1	canonical	24.0	9.062305	-0.1759036144578313	9.69619007110596	99.68	793.0842	ozone-responsive stress-like protein (DUF1138)	0.7141236546723284
AT1G01180.1	F4HS78	1	canonical	10.0	34.702594300000015	-0.1166123778501627	9.313892555236816	99.44	246.3378	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein	0.9094797060087376
AT1G01190.1	F4HS79	1	canonical	2.0	60.31418440000015	0.0037383177570093	8.339517402648926	95.22	398.4286	cytochrome P450%2C family 78%2C subfamily A%2C polypeptide 8	0.9728486866913209
AT1G01200.1	RABA3	1	canonical	16.0	26.2493698	-0.250632911392405	5.521191978454589	97.36	29.5192	RAB GTPase homolog A3	0.4209929797912775
AT1G01210.1	Q9LNK0	1	canonical	6.0	12.273981599999992	-0.5669811320754716	8.10607738494873	99.98	192.1555	DNA-directed RNA polymerase%2C subunit M%2C archaeal	0.9566236938169324
AT1G01220.1	FKGP	1	canonical	59.0	116.35012970000088	-0.0762085308056874	5.874730491638183	99.98	61.7152	L-fucokinase/GDP-L-fucose pyrophosphorylase	0.9933706401197937
AT1G01225.1	Q29PY0	1	canonical	6.0	28.399693000000003	-0.0965384615384614	4.72192211151123	99.75	51.1597	NC domain-containing protein-like protein	0.8856140210568229
AT1G01260.1	BH013	1	canonical	24.0	66.00121190000019	-0.5920338983050843	6.279821968078613	100.0	130.217	basic helix-loop-helix (bHLH) DNA-binding superfamily protein	0.99462601856711
AT1G01280.1	C70A2	1	canonical	11.0	57.85365890000014	-0.1847058823529415	8.632461738586429	14.37	2180.7739	cytochrome P450%2C family 703%2C subfamily A%2C polypeptide 2	0.9215076961556299
AT1G01290.1	CNX3	1	canonical	14.0	29.512439200000014	-0.2703703703703708	8.219799613952638	99.95	85.4504	cofactor of nitrate reductase and xanthine dehydrogenase 3	0.9575651819459813
AT1G01300.1	APF2	1	canonical	74.0	52.17467520000008	-0.0404123711340209	9.216867637634277	100.0	1307.4197	Eukaryotic aspartyl protease family protein	0.9903014847783558
AT1G01305.1	Q1G401	1	canonical	5.0	15.834651399999991	-0.1106382978723403	10.141988945007324	16.09	179.3724	hypothetical protein	0.3662042160513744
AT1G01310.1	Q6ID87	1	canonical	5.0	27.395560299999985	-0.5564315352697097	9.55500431060791	63.11	2053.9257	CAP (Cysteine-rich secretory proteins%2C Antigen 5%2C and Pathogenesis-related 1 protein) superfamily protein	0.6338918521029262
